15 май 2016, 23:17 ----- ОПЛАТА КРЕДИТА, Номер кредитного договора: 758755, Сумма оплаты: 700000

18 май 2016, 19:57 ----- ОПЛАТА КРЕДИТА, Номер кредитного договора: 458759, Сумма оплаты: 4545254

23 май 2016, 11:06 ----- ПОДПИСКА НА СМИ, Журнал: "Армия", Сумма оплаты: 780000

23 май 2016, 11:06 ----- WEBMONEY, Номер кошелька Webmoney: Z213841587758, Сумма оплаты: 12000

23 май 2016, 11:08 ----- БЛАГОТВОРИТЕЛЬНОСТЬ, Сумма оплаты: 780000, СПАСИБО ЗА ВАШУ ПОМОЩЬ!

23 май 2016, 12:14 ----- ПОДПИСКА НА СМИ, Журнал: "Армия", Сумма оплаты: 120000

23 май 2016, 13:58 ----- ОПЛАТА КРЕДИТА, Номер кредитного договора: 758458, Сумма оплаты: 75000

25 май 2016, 23:00 ----- ОНЛАЙН ИГРЫ, Имя аккаунта: город, Сумма оплаты: 78000

25 май 2016, 23:28 ----- ОНЛАЙН ИГРЫ, Имя аккаунта: шолд, Сумма оплаты: 45887455

25 май 2016, 23:28 ----- WEBMONEY, Номер кошелька Webmoney: B458877556988, Сумма оплаты: 8782866

25 май 2016, 23:29 ----- ОНЛАЙН ИГРЫ, Имя аккаунта: лозд, Сумма оплаты: 500003

25 май 2016, 23:51 ----- ОНЛАЙН ИГРЫ, Имя аккаунта: шлоз, Сумма оплаты: 500000

25 май 2016, 23:51 ----- ОНЛАЙН ИГРЫ, Имя аккаунта: щлюз, Сумма оплаты: 1500000

25 май 2016, 23:52 ----- ОНЛАЙН ИГРЫ, Имя аккаунта: рагнарос, Сумма оплаты: 1600000

25 май 2016, 23:52 ----- ОНЛАЙН ИГРЫ, Имя аккаунта: рогнарос, Сумма оплаты: 10000

25 май 2016, 23:53 ----- ОНЛАЙН ИГРЫ, Имя аккаунта: юрог, Сумма оплаты: 45000

26 май 2016, 00:19 ----- ОНЛАЙН ИГРЫ, Имя аккаунта: ворген, Сумма оплаты: 456000

26 май 2016, 00:20 ----- ОПЛАТА КРЕДИТА, Номер кредитного договора: 758845, Сумма оплаты: 1200000

